----------------------------------------------------------------------------
-------------------------------ORGAN INFO-----------------------------------
-------------------(of organs where dose was scored)------------------------
----------------------------------------------------------------------------
ID		Organ Name	    	    	    	Material ID		Density (g/cm^3) 
4     Posterior nasal passage down to larynx (ET2)     45    1.030
5     Oral mucosa, tongue                              29    1.050
26    Cranium, cortical                                 2    1.920
27    Cranium, spongiosa                                8    1.157
39    Mandible, cortical                                2    1.920
40    Mandible, spongiosa                              13    1.228
47    Cervical spine, cortical                          2    1.920
48    Cervical spine, spongiosa                        17    1.050
61    Brain                                            32    1.050
106   Muscle, head                                     29    1.050
114   Pituitary gland                                  45    1.030
116   Residual tissue, head                            49    0.950
120   Salivary glands, left                            45    1.030
121   Salivary glands, right                           45    1.030
122   Skin, head                                       27    1.090
126   Spinal cord                                      45    1.030
128   Teeth                                             1    2.750

	-------------- 
	ABSORBED DOSES 
	-------------- 
	OrganID	Dose(Gy)
	4		2.14134e-11
	5		3.24509e-09
	26		6.35692e-06
	27		7.60851e-06
	39		4.66636e-08
	40		4.92921e-08
	47		1.33737e-08
	48		7.32662e-08
	61		1.35803e-05
	106		2.254e-06
	114		3.7314e-08
	116		4.29534e-06
	120		5.68597e-07
	121		6.63585e-07
	122		1.0676e-06
	126		2.97257e-17
	128		7.86438e-12

Total Dose over all organs = 3.6618e-05 Gy

----------------------------------------------------------------------------
-------------------------------ORGAN DOSES----------------------------------
-----------(for all organs [includes air - OrganIDs = 0, 140])--------------
--------------([and top/bottom skin layer - OrganIDs = 141])----------------
OrganID	Dose(Gy)
-------------------------------
0	7.26002e-05
1	0
2	0
3	0
4	2.14134e-11
5	3.24509e-09
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	6.35692e-06
27	7.60851e-06
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	4.66636e-08
40	4.92921e-08
41	0
42	0
43	0
44	0
45	0
46	0
47	1.33737e-08
48	7.32662e-08
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	1.35803e-05
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	2.254e-06
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	3.7314e-08
115	0
116	4.29534e-06
117	0
118	0
119	0
120	5.68597e-07
121	6.63585e-07
122	1.0676e-06
123	0
124	0
125	0
126	2.97257e-17
127	0
128	7.86438e-12
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	8.13573e-07
141	0
Total Dose over all organs = 3.6618e-05 Gy
