# mesh name: boxMesh_1
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,1.174425451751012e-06,2.456330452606345e-15,681
1,0,0,1.248530515999082e-06,2.942144983049414e-15,683
2,0,0,1.269314631372723e-06,3.018106765924845e-15,691
3,0,0,1.289794688371311e-06,3.075540287532804e-15,698
4,0,0,1.303040748289078e-06,3.189918802028188e-15,707
5,0,0,1.283312154047227e-06,3.145110575354136e-15,696
6,0,0,1.26690318158042e-06,3.15339671125107e-15,703
7,0,0,1.279512459334802e-06,3.389393140779551e-15,688
8,0,0,1.268499332431905e-06,3.233155951055731e-15,688
9,0,0,1.292129023946594e-06,3.276907353187236e-15,697
10,0,0,1.206084273692159e-06,2.812187095195495e-15,669
11,0,0,1.189024922482493e-06,2.906560037017707e-15,651
12,0,0,1.28245325093301e-06,3.549640101239067e-15,672
13,0,0,1.250065525234021e-06,3.285519268260978e-15,663
14,0,0,1.305851311008278e-06,3.325965169475941e-15,689
15,0,0,1.388195929339876e-06,3.89032219605975e-15,708
16,0,0,1.357753611899944e-06,3.839343594256079e-15,702
17,0,0,1.353351811320812e-06,3.799320888684389e-15,684
18,0,0,1.395470296960102e-06,4.043339506763009e-15,706
19,0,0,1.356237103050246e-06,3.855789132053516e-15,679
20,0,0,1.339308401477851e-06,3.894692201650821e-15,666
21,0,0,1.301284633146019e-06,3.825201476249158e-15,659
22,0,0,1.318701205342013e-06,4.164021652423585e-15,641
23,0,0,1.275165528040845e-06,3.950790915259629e-15,617
24,0,0,1.283923474866963e-06,4.116354324349186e-15,597
25,0,0,1.238356470423041e-06,4.229097530905673e-15,558
26,0,0,1.149512285317199e-06,4.054174873127154e-15,513
27,0,0,1.114661086683182e-06,4.007286864731422e-15,491
28,0,0,9.802516630398923e-07,3.441949782221918e-15,445
29,0,0,9.589141034936299e-07,3.287893247514034e-15,428
30,0,0,8.961944504141493e-07,3.081329702358789e-15,396
31,0,0,8.10176443607223e-07,2.709249567632739e-15,356
32,0,0,7.744050523982105e-07,2.985397638161997e-15,328
33,0,0,6.020047703310813e-07,2.110117831155913e-15,273
34,0,0,5.531154716928227e-07,2.25145729884167e-15,232
35,0,0,4.233648556601797e-07,1.439217245926257e-15,184
36,0,0,3.727634628419169e-07,1.384146225505273e-15,158
37,0,0,3.000022496256536e-07,1.151568513867473e-15,117
38,0,0,2.154464697425576e-07,7.576314384183485e-16,87
39,0,0,1.85488179208478e-07,8.53780712666905e-16,63
40,0,0,7.000654606036732e-08,2.270029031469805e-16,40
41,0,0,6.209951218389412e-08,2.267242834999823e-16,31
42,0,0,3.521440970429806e-08,1.146734635284318e-16,21
43,0,0,1.825378053426225e-08,6.181979056880989e-17,12
44,0,0,1.025505930317639e-08,2.495381371331213e-17,8
45,0,0,1.624172529971758e-09,1.174694114354865e-18,9
46,0,0,2.028940545482471e-09,1.208559364745194e-18,7
47,0,0,3.978103213309994e-09,6.64653936320055e-18,8
48,0,0,4.161613417411835e-09,7.796274779708517e-18,4
49,0,0,1.5893787019116e-09,4.79420714887977e-19,7
50,0,0,5.576763840159501e-10,1.693750720004785e-19,5
51,0,0,3.806685912307705e-09,4.496599221278829e-18,7
52,0,0,8.962223104497511e-10,3.17571521998637e-19,5
53,0,0,1.039257582501954e-09,3.441558800358621e-19,6
54,0,0,2.640345366374128e-10,6.936907213110102e-20,2
55,0,0,3.24766241439631e-10,6.548833680898391e-20,3
56,0,0,1.214732621943233e-09,6.271918953218681e-19,4
57,0,0,7.789153468098293e-09,1.954572241715625e-17,7
