# mesh name: boxMesh_1
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,2.793120254048535e-07,2.814043615358935e-15,143
1,0,0,2.416219847511497e-07,5.649893950579031e-16,168
2,0,0,3.186333507745627e-07,8.045060475042132e-16,179
3,0,0,3.305138005064775e-07,7.315079977460809e-16,189
4,0,0,3.262063748737602e-07,6.816453205973095e-16,187
5,0,0,3.600954695737627e-07,9.691206422652046e-16,183
6,0,0,3.477028558038859e-07,8.14800867456649e-16,192
7,0,0,3.411852603837493e-07,7.253474157613977e-16,194
8,0,0,3.696790074324131e-07,8.697256914860368e-16,197
9,0,0,4.087050506139486e-07,1.26249827590404e-15,201
10,0,0,3.704448967031863e-07,9.435341986673217e-16,199
11,0,0,3.440712304131036e-07,8.067209947094727e-16,193
12,0,0,3.72185199588616e-07,1.070272453177684e-15,192
13,0,0,3.612391732563623e-07,9.081150741499996e-16,193
14,0,0,3.748744361895507e-07,1.036150672070522e-15,184
15,0,0,3.469601080242256e-07,9.136849726667681e-16,185
16,0,0,3.555427719450371e-07,9.519243692877149e-16,185
17,0,0,3.750773783101983e-07,1.108901479103188e-15,191
18,0,0,3.913343969242386e-07,1.027283211090764e-15,207
19,0,0,3.986895929575158e-07,1.083105693801495e-15,208
20,0,0,3.651202478909622e-07,9.35837509262128e-16,193
21,0,0,3.397522687808458e-07,9.916099283962357e-16,178
22,0,0,3.696301229706711e-07,1.136545810526378e-15,172
23,0,0,3.453418146516726e-07,1.171871122033619e-15,166
24,0,0,3.305236567867848e-07,9.255087004580864e-16,158
25,0,0,3.302383665565279e-07,9.500389059135776e-16,169
26,0,0,3.377264105907939e-07,1.03528649181315e-15,161
27,0,0,2.920372097140314e-07,8.167075226637513e-16,152
28,0,0,2.928597922940749e-07,8.733532447953609e-16,142
29,0,0,3.301006130902726e-07,1.255341945375133e-15,138
30,0,0,2.976777751171332e-07,1.03729775683366e-15,140
31,0,0,2.543418828393987e-07,8.002642351549828e-16,124
32,0,0,2.313434644554197e-07,6.214455125886707e-16,114
33,0,0,2.08359463312888e-07,6.16536102981453e-16,98
34,0,0,2.157345914156748e-07,7.642883634621299e-16,94
35,0,0,1.778929501970281e-07,6.570780280056559e-16,79
36,0,0,1.541320169930387e-07,4.788573784370894e-16,75
37,0,0,1.561015581858263e-07,5.352077834573344e-16,64
38,0,0,1.242596725574854e-07,4.289589967384262e-16,54
39,0,0,9.199841502336393e-08,3.045435939027624e-16,40
40,0,0,9.92816049540149e-08,3.440266139682626e-16,42
41,0,0,7.390634133687946e-08,2.709853677526326e-16,34
42,0,0,6.167217915958753e-08,2.078376744126195e-16,25
43,0,0,4.953893942877578e-08,1.655833460246114e-16,22
44,0,0,4.230908581119469e-08,1.576382939131104e-16,15
45,0,0,2.980647600430454e-08,1.24714751296397e-16,10
46,0,0,1.238265535756125e-08,3.552816471313272e-17,8
47,0,0,5.927239134606711e-09,1.215992429164691e-17,5
48,0,0,4.829149407572729e-09,2.176974984996123e-17,3
49,0,0,1.456718284272099e-09,1.208557712967805e-18,2
50,0,0,0,0,0
51,0,0,3.412954177008343e-11,1.16482562143587e-21,1
52,0,0,2.317731840730183e-10,2.869748589717186e-20,2
53,0,0,2.748548114750616e-12,7.554516739099166e-24,1
54,0,0,2.37726138602468e-11,5.651371697483983e-22,1
55,0,0,5.191178334071767e-10,2.694833249613613e-19,1
56,0,0,4.253086711127094e-10,9.689990782723915e-20,2
57,0,0,0,0,0
58,0,0,2.784465266069736e-11,7.753246817948806e-22,1
59,0,0,6.855593852870901e-10,4.699916707552128e-19,1
60,0,0,1.125998719532174e-09,9.589584435205506e-19,3
61,0,0,1.292692108030473e-09,1.602863948593072e-18,3
62,0,0,3.467261350737027e-10,4.592019397269523e-20,3
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,1.310253713956906e-11,1.716764794937865e-22,1
66,0,0,0,0,0
67,0,0,1.251551229371952e-09,1.566380479742445e-18,1
68,0,0,2.09449113515214e-11,4.386893115230901e-22,1
69,0,0,2.751929433159973e-11,7.573115605092172e-22,1
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,3.41932020944911e-09,1.142510366437013e-17,3
73,0,0,2.667489594944427e-11,7.115500739136784e-22,1
74,0,0,3.31547372883926e-09,1.003369603159468e-17,3
75,0,0,4.08672019724173e-09,8.562787461816029e-18,2
76,0,0,5.41479492281488e-09,2.783076004754523e-17,2
77,0,0,2.616404788546343e-12,6.845574017528233e-24,1
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,1.111770501639597e-10,1.236033648315961e-20,1
81,0,0,8.201921898063309e-11,6.727152282193044e-21,1
82,0,0,1.590938986129407e-09,2.531086857586465e-18,1
83,0,0,2.539154210061937e-09,6.44730410247526e-18,1
84,0,0,1.440607517513426e-09,2.075350019516197e-18,1
85,0,0,3.439002631280683e-11,1.182673909795546e-21,1
86,0,0,0,0,0
87,0,0,3.494671167163072e-11,1.221272656660091e-21,1
88,0,0,0,0,0
89,0,0,9.048793154383693e-10,8.188065755082117e-19,1
90,0,0,7.078141416705627e-09,3.63790170962387e-17,2
91,0,0,2.703023735181297e-10,7.306337312953453e-20,1
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,4.180085615883177e-11,1.747311575611344e-21,1
95,0,0,3.317235658681721e-10,1.100405241522955e-19,1
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,3.601700062318863e-11,1.29722433389077e-21,1
99,0,0,1.904072301073531e-09,2.715962138713139e-18,2
100,0,0,1.951326311248939e-10,3.807674372972389e-20,1
101,0,0,2.098303137312094e-10,2.269549621967712e-20,2
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,2.213051554394746e-11,4.897597182409001e-22,1
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,1.627097477698313e-10,2.647446201932211e-20,1
110,0,0,0,0,0
111,0,0,1.418388613852673e-09,2.011826259906906e-18,1
112,0,0,1.476981827061107e-09,2.181475317468765e-18,1
113,0,0,1.612795034270238e-09,2.601107822566737e-18,1
114,0,0,1.356122862819798e-09,1.839069219062564e-18,1
115,0,0,1.481488014374602e-09,2.194806736735601e-18,1
116,0,0,2.779568002276626e-09,6.813492664672092e-18,3
117,0,0,2.703471742168683e-09,7.185317952148898e-18,2
118,0,0,5.677050152185229e-10,3.222889843042634e-19,1
119,0,0,1.59010709472734e-09,2.285400570525911e-18,2
