# mesh name: boxMesh_2
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,4.541257394579375e-09,2.050173753604595e-17,2
0,0,1,2.588326869439989e-09,6.699435983065015e-18,1
0,0,2,0,0,0
0,0,3,1.437210556792843e-09,2.046757613465275e-18,2
0,0,4,1.053352702002475e-08,6.339156743832832e-17,3
0,0,5,3.73749419164205e-09,1.396886283255806e-17,1
0,0,6,4.135832697212702e-09,1.586686983045403e-17,2
0,0,7,1.883511034108763e-08,7.484131653232506e-17,8
0,0,8,2.544559506241852e-08,1.054066152352761e-16,10
0,0,9,7.197949433482226e-09,1.645132956719611e-17,4
0,0,10,2.068341569776782e-09,4.278036849266684e-18,1
0,0,11,1.701894709013787e-08,7.605924590535186e-17,5
0,0,12,1.349217410205889e-08,5.842451917934438e-17,6
0,0,13,9.054205652854696e-09,2.478742337937167e-17,5
0,0,14,2.091873804073325e-08,8.545332443697175e-17,6
0,0,15,9.905055893081904e-09,1.617318228356413e-17,7
0,0,16,2.32324628291147e-08,6.783950826283683e-17,9
0,0,17,3.304320548907924e-08,1.483458753271682e-16,11
0,0,18,2.972740883743628e-08,1.077586657108913e-16,12
0,0,19,3.468774267960281e-08,1.290937143768896e-16,15
0,0,20,4.973634848527711e-08,2.234263759766672e-16,17
0,0,21,8.903070755449499e-08,4.19007136039621e-16,28
0,0,22,8.472400729156941e-08,3.630625226594403e-16,31
0,0,23,1.122896357403099e-07,5.141847119619022e-16,39
0,0,24,1.42421177261216e-07,6.364560882206644e-16,48
0,0,25,2.28110800085852e-07,1.250913874413287e-15,67
0,0,26,2.733684275919124e-07,1.399654914105967e-15,78
0,0,27,2.921365108777985e-07,1.585428705962194e-15,80
0,0,28,2.914996935606714e-07,1.431944189109385e-15,88
0,0,29,2.576382180013179e-07,1.187672198133229e-15,89
0,0,30,3.112437856747111e-07,1.408261442717032e-15,98
0,0,31,2.859274250845354e-07,1.357211054038037e-15,91
0,0,32,3.711606427330657e-07,1.895149773111174e-15,114
0,0,33,3.271231725113814e-07,1.652839946106982e-15,99
0,0,34,4.20760554663253e-07,2.321532859192084e-15,124
0,0,35,3.942559990641734e-07,2.095041796553668e-15,120
0,0,36,3.801809116192066e-07,1.913032893509098e-15,113
0,0,37,3.155841172251234e-07,1.41288440860018e-15,110
0,0,38,3.622680907137264e-07,1.826542238214102e-15,112
0,0,39,2.9400566428016e-07,1.223478342983434e-15,109
0,0,40,3.849999648706066e-07,1.857910356008096e-15,125
0,0,41,3.419407502975463e-07,1.617345329711544e-15,107
0,0,42,4.1762196582633e-07,2.268040528007831e-15,120
0,0,43,3.245819543657181e-07,1.362832085585257e-15,109
0,0,44,3.839300172445323e-07,1.729253868417353e-15,117
0,0,45,3.8896942672728e-07,1.77819919516513e-15,123
0,0,46,3.532876794447582e-07,1.751893626282002e-15,106
0,0,47,3.240835546984227e-07,1.492429516045477e-15,105
0,0,48,3.757101650067071e-07,1.981864925231908e-15,110
0,0,49,3.18867289456309e-07,1.340627108497879e-15,104
0,0,50,3.937624344004074e-07,2.041840999637723e-15,105
0,0,51,3.431270416038526e-07,1.78607020777827e-15,105
0,0,52,3.641529114348916e-07,1.806859480084828e-15,109
0,0,53,4.23241812830463e-07,2.500303948289564e-15,110
0,0,54,2.846880999782588e-07,1.315214870622965e-15,103
0,0,55,4.337270694285427e-07,2.523634777218379e-15,120
0,0,56,3.398465799146461e-07,1.523231537400213e-15,113
0,0,57,3.573358944198639e-07,1.69692159083125e-15,115
0,0,58,3.44872118060564e-07,1.681419028193169e-15,111
0,0,59,4.394000275424715e-07,2.31808360283606e-15,134
0,0,60,4.004143230818005e-07,1.897389570551975e-15,129
0,0,61,4.36521028821381e-07,2.040156738753199e-15,139
0,0,62,3.856179055035228e-07,1.916450619014246e-15,131
0,0,63,3.609395104634015e-07,1.668028584879002e-15,125
0,0,64,3.474698286465278e-07,1.678147273232019e-15,110
0,0,65,3.665093447960144e-07,1.853758979022366e-15,110
0,0,66,3.536562774163867e-07,1.808971436492179e-15,110
0,0,67,3.615095782346137e-07,1.847878963572648e-15,114
0,0,68,3.120669923335879e-07,1.5062379954021e-15,99
0,0,69,3.114231034248279e-07,1.673980521682769e-15,97
0,0,70,3.511431768268015e-07,1.691472694858984e-15,116
0,0,71,3.582723201382308e-07,1.56862093777638e-15,117
0,0,72,3.605130589103636e-07,1.693436006401472e-15,113
0,0,73,2.83495629457715e-07,1.266606307115567e-15,105
0,0,74,4.152173482175994e-07,2.150624571211359e-15,123
0,0,75,3.798470863644885e-07,1.960490533409814e-15,113
0,0,76,3.7380997540783e-07,1.739403939434346e-15,126
0,0,77,4.572119911817098e-07,2.371005221428954e-15,130
0,0,78,3.501637795782637e-07,1.686971499764721e-15,114
0,0,79,3.220788247106267e-07,1.496765692052203e-15,108
0,0,80,3.320714346576496e-07,1.591130767407938e-15,109
0,0,81,3.69876276513042e-07,1.761287572855413e-15,116
