Evt     Eprim   Etot    LXe     LXeTime PMT     PMTTime Seed1           Seed2           First   Flags
#       MeV     MeV     hits    ns      hits    ns                                      hit

4     	0.0600	0.0600	66	0x1.b4515db53d40ap-18	57	0x1.7fa285533c7aep+5	1	36556168	gamma	gamma electron 
6     	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	48	0x1.c9a5b3c3d8cebp-18	49	0x1.3066adb2fdacap+5	1	36556168	gamma	gamma electron 
7     	0x1.eb851eb851eb9p-5	0x1.a34ca0c282c6ep-6	29	0x1.7f6a6daa35e1p-18	27	0x1.67f3e6ef3299bp+5	1	36556168	gamma	gamma electron 
13    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	75	0x1.5fcda889d718cp-18	55	0x1.a00cd09560b23p+5	1	36556168	gamma	gamma electron 
14    	0x1.eb851eb851eb9p-5	0x1.d6aa990e7f8f3p-7	16	0x1.735749ef42349p-18	11	0x1.c3e3ed032feebp+5	1	36556168	gamma	gamma electron 
18    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebbp-5	52	0x1.a3eee1022b71p-10	93	0x1.768fe881f572ap+5	1	36556168	gamma	gamma electron 
19    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	58	0x1.744d532f70824p-17	67	0x1.9a3ba0ccd6857p+5	1	36556168	gamma	gamma electron 
21    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	56	0x1.7ce985eaefe9bp-18	83	0x1.f7befd50b90cdp+5	1	36556168	gamma	gamma electron 
22    	0x1.eb851eb851eb9p-5	0x1.59bc33f85510dp-7	4	0x1.2a9fcca4b4606p-15	9	0x1.fedf9b296256ep+4	1	36556168	gamma	gamma electron 
23    	0x1.eb851eb851eb9p-5	0x1.b515014d3abdbp-6	24	0x1.845737216c435p-18	25	0x1.a8587dd5a1c3dp+5	1	36556168	gamma	gamma electron 
24    	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e9193ap-6	30	0x1.9be8d48bdbd09p-12	32	0x1.0b2c25036e046p+5	1	36556168	gamma	gamma electron 
27    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	69	0x1.89b73b4fb62e6p-18	86	0x1.714e4093876b1p+5	1	36556168	gamma	gamma electron 
30    	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91932p-6	25	0x1.f1592e9c7f622p-18	31	0x1.c11e85cd4042ep+5	1	36556168	gamma	gamma electron 
31    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebdp-5	61	0x1.5f48dbe798761p-18	50	0x1.16197bb72660dp+5	1	36556168	gamma	gamma electron 
33    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	60	0x1.d626c06630e16p-18	39	0x1.9b9198347f099p+5	1	36556168	gamma	gamma electron 
34    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	56	0x1.8205380cb6768p-18	55	0x1.665f3278b7d99p+5	1	36556168	gamma	gamma electron 
35    	0x1.eb851eb851eb9p-5	0x1.888603f19990ap-6	48	0x1.2377e6a3d6b44p-13	25	0x1.e9ba3807cc168p+5	1	36556168	e-	electron 
36    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	74	0x1.0b060e48de7dap-17	40	0x1.60826c40e13e9p+5	1	36556168	gamma	gamma electron 
37    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	54	0x1.541f19645ae72p-18	72	0x1.63e055782c37ap+5	1	36556168	gamma	gamma electron 
41    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	59	0x1.e52835cde6a4ep-18	43	0x1.5d4d48b676393p+5	1	36556168	gamma	gamma electron 
49    	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91932p-6	27	0x1.9a081ec46f617p-18	34	0x1.7ce4fc43b6387p+5	1	36556168	gamma	gamma electron 
51    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebcp-5	58	0x1.0b8cfe2c94824p-17	56	0x1.859a3771774cdp+5	1	36556168	gamma	gamma electron 
56    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	56	0x1.7d060f3479942p-18	67	0x1.63903cd7e417bp+5	1	36556168	gamma	gamma electron 
57    	0x1.eb851eb851eb9p-5	0x1.651c2fd5101eep-5	60	0x1.3205566cae7dbp-12	34	0x1.33e1ea218e7d7p+5	1	36556168	e-	gamma electron 
60    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb5p-5	85	0x1.3a7bb2bc2504fp-9	58	0x1.8605a5df48169p+5	1	36556168	gamma	gamma electron 
61    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	58	0x1.a8974aebba56dp-17	78	0x1.4150427a57624p+5	1	36556168	gamma	gamma electron 
