Collection name='THashList', class='THashList', size=4
 TKey Name = Event_1, Title = object title, Cycle = 1
 TKey Name = Event_2, Title = object title, Cycle = 1
 TKey Name = Event_3, Title = object title, Cycle = 1
 TKey Name = Event_4, Title = object title, Cycle = 1
Collection: Event_1
Number of hits: 91
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.0172809  position[mm]: (0.625002,1.96566,-1556.39)
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.0401209  position[mm]: (0.696156,2.28302,-1447.86)
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.012411  position[mm]: (0.732739,2.40332,-1400)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.0688403  position[mm]: (1.24468,4.38777,-600)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.0214917  position[mm]: (1.56897,5.78908,68.8917)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.0117086  position[mm]: (1.59608,5.87332,113.907)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.0194367  position[mm]: (1.62415,5.96212,160.628)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.0076575  position[mm]: (1.63108,6.0058,183.367)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.00094126  position[mm]: (1.63143,6.0124,186.468)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.00224259  position[mm]: (1.63252,6.04087,200)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.0280622  position[mm]: (1.93785,7.36054,879.344)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.0406698  position[mm]: (1.9439,7.63808,1000)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0093943  position[mm]: (2.20784,9.00687,1627.93)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0139977  position[mm]: (2.21313,9.11752,1678.54)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0234516  position[mm]: (2.21096,9.21059,1722.23)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0151531  position[mm]: (2.21721,9.28826,1758.79)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0150432  position[mm]: (2.22892,9.36256,1800)
  trackID: 49  chamberNb: 4  energy deposit[MeV]: 0.00472861  position[mm]: (2.20017,9.32849,1758.79)
  trackID: 48  chamberNb: 4  energy deposit[MeV]: 0.00163189  position[mm]: (2.20525,9.20164,1722.24)
  trackID: 47  chamberNb: 4  energy deposit[MeV]: 0.00155786  position[mm]: (2.20356,9.11437,1678.54)
  trackID: 42  chamberNb: 3  energy deposit[MeV]: 0.003351  position[mm]: (1.9605,7.34571,879.346)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.0025269  position[mm]: (46.9345,-213.235,802.363)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.000237841  position[mm]: (46.9946,-213.672,803.196)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.0102717  position[mm]: (53.3772,-215.378,811.306)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.00111084  position[mm]: (55.7245,-215.397,812.766)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.000307  position[mm]: (56.2735,-215.611,813.528)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.00146572  position[mm]: (57.6485,-215.599,814.914)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.014998  position[mm]: (71.2046,-226.333,821.853)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.0190692  position[mm]: (82.6227,-214.556,815.499)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.00542897  position[mm]: (83.8412,-210.123,817.523)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.00229365  position[mm]: (84.2445,-209.242,818.699)
  trackID: 38  chamberNb: 3  energy deposit[MeV]: 0.0182175  position[mm]: (86.7972,-196.289,818.921)
